x_pos y_pos RA DEC amp e_amp VLSR e_VLSR vel_disp e_vel_disp int_tot e_int_tot rms pvalue aicc rchi2 ncomps ncomp_wmedian ncomp_jumps flag_blended flag_neg_res_peak flag_broad flag_centroid
14 0 161.0041 -27.7686 0.1370 0.0282 29.0142 1.0834 4.9971 1.2380 1.7161 0.8659 0.0500 0.3571 -861.8644 1.0054 10 8 1 0 0 0 2
15 0 160.9144 -27.7686 4.0788 0.2019 -5.4745 0.0199 0.9124 0.0321 9.3283 0.8061 0.0506 0.1435 -713.6545 1.1454 10 8 1 1 0 0 2
15 0 160.9144 -27.7686 6.4244 0.4877 0.0329 0.1220 2.1174 0.0821 34.0977 4.0105 0.0506 0.1435 -713.6545 1.1454 10 8 1 1 0 0 2
15 0 160.9144 -27.7686 0.7507 0.1659 -21.3153 0.1631 2.0634 0.2714 3.8828 1.4816 0.0506 0.1435 -713.6545 1.1454 10 8 1 1 0 0 2
15 0 160.9144 -27.7686 7.6601 0.5184 -6.1951 0.1980 3.5969 0.1685 69.0636 8.1281 0.0506 0.1435 -713.6545 1.1454 10 8 1 1 0 0 2
15 0 160.9144 -27.7686 2.8763 0.4316 -20.9721 0.4531 5.2577 0.3965 37.9069 8.9749 0.0506 0.1435 -713.6545 1.1454 10 8 1 1 0 0 2
15 0 160.9144 -27.7686 1.4959 0.2384 -0.3972 0.0510 0.7552 0.0886 2.8318 0.8365 0.0506 0.1435 -713.6545 1.1454 10 8 1 1 0 0 2
15 0 160.9144 -27.7686 0.4111 0.0821 5.0083 0.1848 0.9255 0.2075 0.9537 0.4468 0.0506 0.1435 -713.6545 1.1454 10 8 1 0 0 0 2
15 0 160.9144 -27.7686 3.0317 0.5907 -9.9131 0.6548 11.9256 0.6023 90.6252 23.1261 0.0506 0.1435 -713.6545 1.1454 10 8 1 1 0 0 2
15 0 160.9144 -27.7686 0.1379 0.0328 24.6173 1.5465 5.9111 1.6323 2.0435 1.1840 0.0506 0.1435 -713.6545 1.1454 10 8 1 0 0 0 2
15 0 160.9144 -27.7686 0.1830 0.0492 1.2050 2.6830 36.8082 4.0980 16.8883 6.9262 0.0506 0.1435 -713.6545 1.1454 10 8 1 1 0 1 2
16 0 160.8248 -27.7686 4.6740 0.4675 -5.6662 0.0222 0.9358 0.0446 10.9635 1.6712 0.0558 0.4513 -678.0334 1.0840 9 8 0 1 0 0 2
16 0 160.8248 -27.7686 6.1238 0.5880 -1.1438 0.3719 2.6572 0.2722 40.7885 8.4957 0.0558 0.4513 -678.0334 1.0840 9 8 0 1 0 0 2
